Fransızca;Türkçe
Analyse des correspondances multiples ;çoklu uygunluk analizi
Attitude d’auto-restriction; kendi kendini kısıtlayan davranışlarda bulunma
Biographique; biyografik
pouvoir compensateur; dengeleyici güçler
âge de la vie;hayatın evreleri, dönemler
enfance, jeunesse, âge adulte, vieillesse l’adolescence et l’âge adulte;çocukluk, gençlik, yetişkinlik, yaşlılık
être dans la fleur de l'âge la jeunesse;gençliğin baharında olmak
être dans la force de l'âge la maturité;yaşın kemale ermesi
être d'âge à, en âge de;..yapacak yaşta olmak, … yaşına gelmek
être de l'âge de quelqu'un, de son âge avoir le même âge que quelqu'un;yaşıt olmak
être de son âge se comporter comme il convient à l'âge que l'on a;yaşının adamı olmak
être d'un certain âge ne plus être jeune;belli bir yaşa ermek
être entre deux âges être à la limite de la jeunesse et de la vieillesse;orta yaş sahibi olmak
être sans âge état de celui dont rien n'indique l'âge de façon précise;yaşını göstermemek,yaşının belli olmaması
Le choix des partenaires; eş seçimi, partner seçimi
le contexte religieux et normatif propre à une société donnée; Belirli bir topluma özgü dini ve normatif bağlam
partenaire; partner 
Questionnaire;anket
reconnaissance mutuelle; tanışıklık, karşılıklı tanışma 
abréaction, thérapie par l'abréaction;açığa çıkarma, açığa çıkarma terapisi 
absolutisme; mutlakiyetçilik
Abstention; sakınma, çekinme, çekimser oy, imtina, kaçınma, uzak durma, vazgeçme
abus d'enfants;çocuk istismarı 
accomplissement motivation;başarı güdüsü 
accord partisan; partizanlıktan sapma
accord, méthode d'accord;anlaşma, anlaşma yöntemi 
Acculturation;kültürleşme
accumulation;birikim 
accumulation de capital; sermaye birikimi
acte; edim
acte d'unité;birim edim
acte social; toplumsal edim
acte unitaire ;birim edim
acteur agent; faktör
acteur social; toplumsal aktör
acteur-réseau;aktör, fail, katılımcı,taraf, edimci, numaracı
action l’action humaine non réflexe ;çalışma, davranış, aksiyon, eylem, faaliyet, fiil, etkime, nüfuz
action collective; kolektif eylem
Action Collective ;toplu eylem
Action individuelle ; bireysel eylem
action industrielle; endüstriyel eylem
action positive; olumlayıcı eylem
Action publique ;kamu eylemi
action sociale; toplumsal eylem
Actionnalisme;eylemcilik, hareketçilik
Actionnisme;eylemcilik
Activité;Faaliyet ,Meşguliyet, aktivite, enerji, canlılık
activité de loisir;boş zaman faaliyeti
activité économique; iktisadi faaliyet
Adaptatif;uyum sağlayan, uyumlu
adaptation, modes d'adaptation individuelle;adaptasyon uyum, bireysel adaptasyon uyum tarzları 
addiction au numérique;dijital bağımlılık
administration publique; kamu yönetimi
administration sociale; toplumsal idare
adolescence; ergenlik
adultisme; yetişkin egemenliği, yetişkin merkezcilik
affect; duygulanım
affine; hısım
affinitaire; bağdaşık, uyumlu
affinité; hısımlık yakınlık 
affinité élective; seçici yakınlık
Âge;yaş, çağ, zaman, asır,kuşak,nesil
agence; eylemlilik fail eyleyen
agglomération urbaine; kentsel yığılma
âgisme,age discrimination, agism; yaş ayrımcılığı
agrarianisme; tarımcılık
agrégat; data veri yığını
Agrégation; yığışma,birikim,küme
Agricole commune; ortak tarım
Agricolité; köylülük, tarımcılık
Agriculture; Tarım, ziraat
agro-industrie; tarım işletmesi
aide étrangère; dış yardım
Ajustement;ayarlama, ayar, intibak, halletme, tashih, uydurma, alıştırma, adaptasyon
ajustement structurel; yapısal uyum
alcoolisme;alkolizm 
algorithme;algoritma 
aliénation; yabancılaşma
alignement optimal; optimal diziliş
Alimentation;erzak, beslenme, besin, besin kaynağı, yetiştiricilik
alimentation animale; hayvan yemi, hayvan besini
alimentation de base; temel gıda
alimentation déséquilibrée; zayıf beslenme
alimentation en contin;  sürekli beslenme
alimentation équilibrée;  düzenli beslenme
alimentation générale; market
alimentation saine; sağlıklı beslenme
allocations universelles ;genel yardımlar hizmetler
Altérisation; değişiklik, ötekileştirme
Alternation; alternasyon
altruisme;alturizm
ambivalence; zıtdeğerlilik
amélioration de Pareto; Pareto iyileştirmesi
Amicalité; yakınlık
Amitié; arkadaş, partner 
Amitié particulière; eşcinsel ilişki
amnésie rétrograde ;geriye dönük bellek yitimi
Amour; aşk 
amplification de la déviance; sapkınlığın çoğalması
analogie biologique ;biyolojik analoji 
analogie organique; organik analoji
analyse bivariée; iki değişkenli analiz
analyse canonique; kümeler arası analiz
analyse comparative qualitative ;karşılaştırmalı kalitatif analiz
analyse coût-bénéfice; maliyet-kazanç analizi
analyse de cohorte; dilim analizi
analyse de contenu; içerik analizi
analyse de la conversation; konuşma analizi
analyse de la variance; varyans analizi 
analyse de l'espace social; toplumsal alan analizi
analyse de l'historique des événements; olay tarihi analizi
analyse de régression; regresyon analizi
analyse de séquences;ardışıklık analizi 
analyse des composantes;bileşen analizi 
analyse des composantes principales; temel bileşenler analizi
analyse des composants;bileşim yanılgısı
Analyse des correspondances , analyse factorielle , analyse factorielle des correspondances; faktör analizi
analyse discriminante;ayrımcı analiz 
analyse du chemin; izlek analizi
analyse du discours; söylem
Analyse en composantes principales ;temel bileşen analizi
analyse en grappes; küme analizi
analyse factorielle; faktör analizi
Analyse géométrique des données AGD ;geometrik veri analizi
analyse log-linéaire; log-lineer analiz
analyse multivariée;çok değişkenli analiz 
analyse secondaire; ikincil analiz
analyse shift-share; geçiş payı analizi
analyse transversale; kesit analizi
analyse univariée; tek değişkenli analiz
anarchie épistémologique; epistemolojik anarşi
anarchie, épistémologique;anarşi, epistemolojik 
anarchisme;anarşizm 
anarchisme communiste; komünist anarşizm
androgynie; erdişilik çift cinsiyetlilik 
animisme;animizm canlıcılık 
Annales scolaires;Annales Okulu 
anneau de kula; kula halkası
Anomie; anomi
anomie épistémologique; epistemolojik anomi
anomien; anomi
anomique; anomik
anthropologie;antropoloji 
anthropologie culturelle; kültürel antropoloji
anthropologie sociale; sosyal antropoloji
anthropomorphisme; insanbiçimcilik 
Anticipation; bekleme, umma, beklenti, sezme, öngörü, sezinleme, tahmin etme
Anticipation rationnelle; rasyonel beklentiler
anti-haïtianisme;haiti karşıtlığı
anti-naturalisme;anti-doğalcılık 
anti-nomosianisme;anti-nomosçuluk 
antipsychiatrie;antî-psikiyatri 
anti-urbanisme; kentleşme karşıtlığı 
anxiété névrotique; nevrotik anksiyete
apartheid;apartheid 
apartheid apartheid sociologie appliquée; uygulamalı sosyoloji 
appareil d'État idéologique; ideolojik devlet aygıtı
appareil d'État répressif; devletin baskı aygıtları
approbation; onaylama 
approche systémique;sistemik yaklaşım
approches idéographiques; idiografik yaklaşımlar
aptitude; yetenek 
archipélisation;arşipelleşme
archives de données; veri arşivi
aristocratie;aristokrasi 
aristocratie ouvrière; işçi aristokrasisi
armée de réserve du travail ;yedek emek ordusu
armée de réserve industrielle; yedek sanayi ordusu
artefact; yapıntı 
artefacts méthodologiques; metodolojik yapıntılar
ascendance; ecdat 
Ascétisme; çilecilik, kişisel zevklerden arınma
assimilation;asimilasyon 
assimilation culturelle; kültürel asimilasyon
Association de mots; Test Sözcük Çağrışımı Testi
association différentielle; eşitsiz etkileşim 
association statistique; istatistiki ilişki
associations volontaires; gönüllü birlikler
assurance sociale ;sosyal sigorta
assurantiel;sigortacılık, sigorta işleri
asymétrie;çarpıklık 
atelier fermé; zorunlu sendikalı işyeri
atomisme;atomculuk
Attitude; tavır, yaklaşım
attitudes; tutumlar
attribution;atfetme 
authenticité; sahicilik 
auto ;benlik
Auto-analyse; oto-analiz
autobiographie; otobiyografi 
autocratie; otokrasi 
autodestruction; prophecy kendi kendini yok eden kehanet
autodiscipline ;benlik ifşaatı
autogénocide;otojenosit, oto-soykırım
autogestion; özyönetim
automatisation; otomasyon 
Autonomie; özerklik, bağımsızlık, otonomi
autonomie relative; göreli özerklik
Autonomie relative ; Nispeten bağımsızlık
autoréduction; oto-indirgeme tüketicilerin fiyatları kendi başlarına veya kendi aralarında düşürme pratiği
auto-réduction;otomatik azaltma, kendi kendini azaltma
autoreproduction; toplumsal yeniden üretim toplumsal yapıların ve ilişkilerin, kendilerini yeniden üretme veya devam ettirme eğilimi
autoritaire; otoriter 
autoritarisme; otoriteryanizm 
Autorité; yetki, otorite, bilirkişi, hak, uzman, nüfuz, şahit, mercii
Auto-socioanalyse; oto-sosyo-analiz
Autres généralisés; genelleştirilmiş öteki
autrui significatif;  yakınlar bir kişinin romantik veya duygusal olarak bağlı olduğu önemli diğer kişi
Avancer en âge vieillir;saçları ağarmak
avantages sélectifs ;seçici yardımlar hizmetler
Babyboom; doğum oranındaki ani artış
banlieue;banliyölülük suburbanism
banlieue ;banliyölülük
banque de données; veri bankası
banques de développement; kalkınma bankaları
barrière à l’entrée ;bariyer
bas peuple ; alt sınıf, alt tabaka
base; temel
beau un plaisir esthétique, une construction sociale; güzel, iyi
Bel âge jeunesse;deli dolu zamanlar
besoin; ihtiyaç
besoins sociaux ;toplumsal ihtiyaçlar
biais; yanlılık
biais de désirabilité sociale; toplumsal cazibe yanlılığı
biais de l'observateur; gözlemci yanlılığı
biais de sélection de l'échantillon; örneklem seçiminde yanlılık
biais d'échantillonnage; yanlı örnekleme
bidonvilles; teneke evler
bien collectif; kolektif mal
bien public; kamu malı
bien symbolique ;sembolik mal, sembolik mülkiyet
biens sociaux; refah malları
bigame; iki eşlilik
biographie; biyografi
bipartite bipartizan; iki taraflılık iki taraflı
blanc; beyaz ırka mensup kimse, beyaz insan
blanchité; beyazlık, beyaz üstünlüğü
bloc d'alimentation; dış güç kaynağı
bobby-soxer; ergen kız çocuğu
body positivisme; beden olumlama
boire; içki düşkünlüğü
bonding; bağ kurma, bağlama, birleştirme
bonheur un état de bien-être individuel; mutluluk, neşe
bonne société; orta sınıf
bouc émissaire ;günah keçisi
bouddhisme;Budizm 
bourgeoisie classe sociale; burjuva sınıfı
bourgeoisie compradore; komprador burjuvazi
bourgeoisie nationale; ulusal burjuvazi
bracketing; paranteze alma
brassage; insanların birlikte vakit geçirerek temas kurması
bretonnisation; britanyaylılaşma
bridging; bağlama, köprü kurma
bureaucratie; bürokratik
cadre groupe social;çerçeve sosyal grup
cadre de codage; kodlama çerçevesi
cadre d'échantillonnage; örnekleme çerçevesi
cadre, cadrage, analyse du cadre ;çerçeve, çerçeveleme, çerçeve analizi 
caïnisme;cainism 
capacitation;güçlendirme
Capital;Sermaye 
capital circulant; dolaşan sermaye
capital culturel; kültürel sermaye
capital économique;ekonomik sermaye
capital fixe;bağlı sermaye 
capital humain;insan sermayesi
capital social; sosyal sermaye
capital symbolique;sembolik sermaye
Capitalisme;Kapitalizm
capitalisme agraire; tarım kapitalizmi
capitalisme désorganisé; örgütsüzleşmiş kapitalizm
capitalisme d'état; devlet kapitalizmi
capitalisme financier; finansal kapitalizm
capitalisme industriel; sanayi kapitalizmi
capitalisme mercantile; merkantil kapitalizm
capitalisme militaire;askeri kapitalizm 
capitalisme monopolistique d'État; devlet tekelci kapitalizmi
capitaliste; kapitalist
caractère national; ulusal karakter
caractérisation, qualification; tipleştirme
caractéristiques propriétés sociales socio-démographiques;sosyal sosyo-demografik özellikler 
carrière; kariyer
carrière déviante; kariyer sapması
carrière morale; moral kariyer
carrière professionnelle; mesleki kariyer
cartel; kartel
cas; örnek vaka
cash nexus; para bağı
caste; kast
caste système des;kast kast sistemi
catamnestique;catamnestic
catastrophes; felaketler
catégorie; kategori
catégorie socio-professionnelle ;sosyo-profesyonel kategori 
catégories ou intervalles successifs;ardışık kategoriler ya da  aralıklar 
catégories ou intervalles successifs ;ardışık kategoriler ya da aralıklar
catégories sociales; toplumsal kategoriler
catharsis; katharsis
cathexis; kateksis yüktenim
catholique ultra;ultra katoli̇k
cause; neden
cellule; hücre
centralité de réseau;merkezilik 
centre de retraite ;emekli bölgeleri
Cercle de Vienne; Viyana Çevresi
cercle herméneutique; yorumbilgisel döngü
cérémonie de dégradation;aşağılama töreni 
cerveau;Beyin
chaîne d'emploi; istihdam zinciri
chaînes de marchandises; meta zincirleri
chaînes mondiales de produits de base; küresel meta zincirleri
chamanisme; şamanizm
champ;alan
chances de vie; yaşam şansları
changement; değişim
changement cyclique; devrevi değişim
changement social; toplumsal değişim
chargé de théorie; kuramla yüklü
charge mentale;zihinsel suçlama
charismatique;karizmatik
charisme; karizma
chauvinisme masculin; erkek şovenizmi
chef de famille; hane reisi
chi carré; ki-kare
chiliasm;binyıllık egemenlik öğretisi
choc des cultures;kültür şoku
choix rationnel;seçim rasyonel
chômage; işsizlik
chômage cyclique; devrevi işsizlik
chômage frictionnel; geçici friksiyonel işsizlik
chômage saisonnier; mevsimlik işsizlik
chômage structurel; yapısal işsizlik
chombartien;chombardian
choromosomes; kromozomlar
christianisme; Hıristiyanlık
circulation des élites; elitlerin dolaşımı
citoyen de seconde classe;ikinci sınıf vatandaş
citoyen de seconde zone;ikinci sınıf vatandaş
citoyenneté; yurttaşlık
civilisation processus de;uygarlık süreci
clan;klan
classe; sınıf
classe capitaliste; kapitalist sınıf
classe d'âge; sınıf kültürü
classe de logement; konuta göre sınıflandırma
classe de loisirs;aylak sınıf 
classe de service; hizmet sınıfı
classe d'école; okul sınıfı
classe d'images; sınıf tahayyülü
classe dirigeante;yönetici sınıf
classe dominante; yönetici sınıf
classe géosociale;jeososyal sınıf
classe moyenne;orta sınıf
classe ouvrière; işçi sınıfı
classe sociale;sosyal sınıf
classe supérieure; üst sınıf
classement ;derecelendirme
classes d'âge; yaş katmanları
classes dangereuses; tehlikeli sınıflar
classification; sınıflandırma
classification nomenclature, taxinomie, typologie;sınıflandırma isimlendirme, taksonomi, tipoloji
classification de la classe; sınıfsal sınıflandırma
classification des professions; mesleki sınıflandırma
classification morphologique -ou étiologique; morfolojik ya da etiolojik sınıflandırma
classisme;sınıfçılık
classiste;sınıfçı
clergé; ruhban sınıfı
clérico-conservateur;ruhban-muhafazakar
clérico-national;clerico-national
clérico-nationaliste;dinci-milliyetçi
clientélisme; klientelizm
cliométrie; kliometri
clivages de consommation; tüketim dilimleri
clivages sectoriels ;kesimsel dilimler
clustering additif à chevauchement; toplamsal geçişmeli kümeleme
clustering rectangulaire ;dikdörtgen kümeleme
coanalyse;koanaliz
coconnage;kozalanma
code; kod
codépendance;karşılıklı bağımlılık
codes d'expression élaborés; gelişkin konuşma kodları
codes d'expression restreints; sınırlı konuşma kodları
co-détermination ;birlikte belirleme
codification; kodlama
coefficient; katsayı
coefficient budgétaire ;bütçe katsayısı 
coefficient de Benini;Benini katsayısı 
coefficient de corrélation de rang de Spearman ;Spearman sıra korelasyon katsayısı
coefficient de Gini; Gini katsayısı
coefficient de Pearson; Pearson katsayısı
coefficient de régression partielle; kısmi regresyon katsayıları
coefficients d'association; ilişki katsayıları 
cognatique; kandaşlık
cognition;biliş 
cognition, cognitive;bilme yetisi, biliş, bilişsel 
cohérence attitudinale; tutum tutarlılığı 
cohérence cognitive;bilişsel tutarlılık 
cohérence du statut ;statü tutarlılığı
cohésion sociale;sosyal uyum
cohorte; dilim
cohorte ;kohort
cohorte de naissance; doğum dilimi
collectivisme; kolektivizm
colonialisme; sömürgecilik
colonialisme interne - ou domestique; iç sömürgecilik
colonisé;sömürgeleştirilmiş
cols blancs;beyaz yakalı iş 
communautarisme, communautarisme ;cemaatçi, cemaatçilik 
communauté;cemaat topluluk 
communauté morale;ahlâki cemaat 
communauté professionnelle; mesleki cemaat
communauté thérapeutique ;terapötik topluluk
communautisation;komünalizasyon
commune; komün
communication; iletişim
communication sociologie de la;i̇leti̇şi̇m sosyoloji̇si̇
communication de masse; kitle iletişimi
communication non verbale; sözlü olmayan iletişim
communiel;toplumsal
communisme; komünizm
communisme primitif; ilkel komünizm
compadrazgo ;compadrazgo 
comparaison;karşılaştırma
comparaisons interpersonnelles; kişiler arası karşılaştırmalar
