Fransızca;Türkçe
;
Acculturation;kültürleşme
Actionnalisme;eylemcilik, hareketçilik
Actionnisme;eylemcilik
Adaptatif;uyum sağlayan, uyumlu
addiction au numérique;dijital bağımlılık
adultisme; yetişkin egemenliği, yetişkin merkezcilik
affinitaire; bağdaşık, uyumlu
agnotologue;
Agricolité; köylülük, tarımcılık
Altérisation; değişiklik, ötekileştirme
Alternation; alternasyon
Amicalité; yakınlık
Androcène;
Anomie; anomi
anomien; anomi
anomique; anomik
le suicide anomique ; anomik intihar
anti-haïtianisme;haiti karşıtlığı
approche systémique;sistemik yaklaşım
archipélisation;arşipelleşme
aristocratie ouvrière;işçi aristokrasisi
assurantiel;sigortacılık, sigorta işleri
auto-réduction;otomatik azaltma, kendi kendini azaltma
autogénocide;otojenosit, oto-soykırım
autoréduction; oto-indirgeme tüketicilerin fiyatları kendi başlarına veya kendi aralarında düşürme pratiği
autoreproduction; toplumsal yeniden üretim toplumsal yapıların ve ilişkilerin, kendilerini yeniden üretme veya devam ettirme eğilimi
autrui significatif;  yakınlar bir kişinin romantik veya duygusal olarak bağlı olduğu önemli diğer kişi
Activité;Faaliyet ,Meşguliyet, aktivite, enerji, canlılık
Affinité élective;seçilmiş yakınlık
Âge;yaş, çağ, zaman, asır,kuşak,nesil
âge de la vie;hayatın evreleri, dönemler
enfance, jeunesse, âge adulte, vieillesse l’adolescence et l’âge adulte;çocukluk, gençlik, yetişkinlik, yaşlılık
;
être dans la fleur de l'âge la jeunesse;gençliğin baharında olmak
être dans la force de l'âge la maturité;yaşın kemale ermesi
être d'un certain âge ne plus être jeune;belli bir yaşa ermek
être d'âge à, en âge de;..yapacak yaşta olmak, … yaşına gelmek
être de l'âge de quelqu'un, de son âge avoir le même âge que quelqu'un;yaşıt olmak
être de son âge se comporter comme il convient à l'âge que l'on a;yaşının adamı olmak
être entre deux âges être à la limite de la jeunesse et de la vieillesse;orta yaş sahibi olmak
être sans âge état de celui dont rien n'indique l'âge de façon précise;yaşını göstermemek,yaşının belli olmaması
Avancer en âge vieillir;saçları ağarmak
Bel âge jeunesse;deli dolu zamanlar
D'âge en âge; nesilden nesile
Agrégation; yığışma,birikim,küme
Agriculture; Tarım, ziraat
Secteur agricole;tarımcılık
Economie mondiale;küresel ekonomi
Alimentation;yetiştiricilik 
Environnement;çevre 
Vie Collective; kolektif yaşam
Agricole commune; ortak tarım
Ajustement;ayarlama, ayar, intibak, halletme, tashih, uydurma, alıştırma, adaptasyon
Alimentation;erzak, beslenme, besin, besin kaynağı
bloc d'alimentation; dış güç kaynağı
alimentation animale; hayvan yemi, hayvan besini
alimentation de base; temel gıda
alimentation déséquilibrée; zayıf beslenme
alimentation en contin;  sürekli beslenme
alimentation équilibrée;  düzenli beslenme
alimentation générale; market
alimentation saine; sağlıklı beslenme
sous-alimentation; yetersiz beslenme
trouble de l'alimentation; beslenme sorunu
Amour; aşk 
Amitié; arkadaş, partner 
Amitié particulière; eşcinsel ilişki
le contexte religieux et normatif propre à une société donnée; Belirli bir topluma özgü dini ve normatif bağlam
 ;
partenaire; partner 
reconnaissance mutuelle; tanışıklık, karşılıklı tanışma 
Le choix des partenaires; eş seçimi, partner seçimi
Analyse des correspondances , analyse factorielle , analyse factorielle des correspondances; faktör analizi
 Analyse des correspondances multiples ;çoklu uygunluk analizi
Analyse en composantes principales ;temel bileşen analizi
Analyse géométrique des données AGD ;geometrik veri analizi
Anticipation; bekleme, umma, beklenti, sezme, öngörü, sezinleme, tahmin etme
film d'anticipation; bilim kurgu filmi
livre d'anticipation ;bilim kurgu kitabı
