Fransızca;Türkçe
caïnisme;cainism 
capacitation;güçlendirme
capital culturel;kültürel sermaye
capital économique;ekonomik sermaye
capital social;sosyal sermaye
capital symbolique;sembolik sermaye
catamnestique;catamnestic
catholique ultra;ultra katoli̇k
champ;alan
charge mentale;zihinsel suçlama
charismatique;karizmatik
choc des cultures;kültür şoku
chombartien;chombardian
citoyen de seconde classe;ikinci sınıf vatandaş
citoyen de seconde zone;ikinci sınıf vatandaş
clan;klan
classe;sınıf
classe dirigeante;yönetici sınıf
classe géosociale;jeososyal sınıf
classe moyenne;orta sınıf
classe sociale;sosyal sınıf
classisme;sınıfçılık
classiste;sınıfçı
clérico-conservateur;ruhban-muhafazakar
clérico-national;clerico-national
clérico-nationaliste;dinci-milliyetçi
coanalyse;koanaliz
coconnage;kozalanma
codépendance;karşılıklı bağımlılık
colonisé;sömürgeleştirilmiş
communautisation;komünalizasyon
communiel;toplumsal
conduite à risque;riskli davranışlar
conscience sociale binaire;i̇ki̇li̇ toplumsal bi̇li̇nç
conscience sociale triangulaire;üçgen toplumsal bi̇li̇nç
consocié;ortak
construction sociale;sosyal i̇nşa
consultocratie;danişmanlik
consumérisme;tüketimcilik
contrat social;toplumsal sözleşme
convergence culturelle;kültürel yakınsama
convivial;kullanıcı dostu
convivialité;şenlik
cool attitude;havalı tavır
cordicole;cordicole
cosmopolitisation;kozmopolitanizm
covariance;kovaryans
CSP-;CSP-
CSP+;CSP+
CSP++;CSP++
culturalisme;kültürelcilik
culturation;kültürleme
culture;kültür
culture de masse;kitle kültürü
culture du viol;tecavüz kültürü
culturème;Kültür
culturer;kültürcü
cyberaddiction;siber bağımlılık
cyberdépendance;siber bağımlılık
crise économique;ekonomik kriz 
conflit de classe;sınıf çatışması 
cadre cadrage;çerçeve framing 
cadre groupe social;çerçeve sosyal grup
Capital;Sermaye 
capital culturel;kültürel sermaye
capital humain;insan sermayesi
capital social;sosyal sermaye
capital symbolique;sembolik sermaye
Capitalisme;Kapitalizm
caractéristiques propriétés sociales socio-démographiques;sosyal sosyo-demografik özellikler 
caste système des;kast kast sistemi
catégorie socio-professionnelle ;sosyo-profesyonel kategori 
centralité de réseau;merkezilik 
cerveau;Beyin
champ;alan
changement social;değişim sosyal
charisme charismatique;karizma karizmatik
choix rationnel;seçim rasyonel
civilisation processus de;uygarlık süreci
classe sociale;sosyal sınıf
classification nomenclature, taxinomie, typologie;sınıflandırma isimlendirme, taksonomi, tipoloji
coefficient budgétaire ;bütçe katsayısı 
cohésion sociale;sosyal uyum
cohorte ;kohort
communication sociologie de la;i̇leti̇şi̇m sosyoloji̇si̇
comparaison;karşılaştırma
compétence;yetkinlik
compréhension;anlayış
conditions de travail;çalışma koşulları
confiance;güven
configuration sociale;yapılandırma sosyal
conflit conflictualité;çatışma 
conjoncture;durum
consommation épargne l’usage d’un bien ou d’un service l’achat;tüketim tasarruf bir mal veya hizmetin kullanımı satın alma
construction de l’objet;inşaat nesnenin
construction sociale;i̇nşaat sosyal
Contexte;Bağlam
contingence tableau de ;olumsallık tablosu 
contrainte;kısıtlama
controverse;tartışmalı
corps l’apprentissage, l’expérience sociale;beden öğrenme, sosyal deneyim
corrélation coefficient de ;korelasyon katsayısı 
croyance;inanç
culture;kültür
cycle fluctuation;döngü dalgalanma
cycle de vie;yaşam döngüsü 
de seconde génération;ikinci nesil
décivilisation;medeniyetsizleştirme
décommodification;meta olmaktan çıkarma
déconjugalisation;deconjugalisation
décrocheur;bırakma
décrocheuse;bırakma
dédiasporisation;bağlılıktan kurtulma
délinquance en col blanc;beyaz yaka suçu
démoscopie;demoskopi
déparentalisation;deparentalizasyon
dépassionnement;duyarsızlaşma
dépaysannisation;depaysanizasyon
dépossédé;mülksüzleştirilmiş
dépossédée;mülksüzleştirilmiş
déruralisé;nüfus azaltımı
désagricolisation;désagricolisation
déspécialisation;özelleşti̇rme
déterminisme social;sosyal determinizm
digital native;dijital yerli
dilemme du commerçant;perakendeci̇ni̇n i̇ki̇lemi̇
discrimination;ayrımcılık
discriminer;ayrımcılık
distanciation sociale;sosyal mesafe
diversitaire;kimlikçi
diversité;çeşitlilik
dominants;baskın
dominés;bastırılmış
droite;hukuk 
durkheimien;Durkheimian
dysfonction;disfonksiyon
dysphorie;disfori
délégation;delegasyon
délinquance résultat de conditions sociales;suçluluk sosyal koşulların sonucu
démocratisation;demokratikleşme
description statistique statistique descriptive ;istatistiksel açıklama tanımlayıcı istatistikler 
déterminants sociaux;sosyal beli̇rleyi̇ci̇ler
développement sociologie du;geli̇şi̇m sosyoloji̇si̇
déviance;sapkınlık
dieux croyance Collective;tanrılar kolektif inanç
différenciation sociale;farklılaşma sosyal
discours;söylem
disposition;eğilim
domination;tahakküm
domination symbolique;sembolik tahakküm
données d’observation [stat];gözlemsel veri [stat]
doxa;doksa
droit sociologie du;hukuk sosyoloji
durée;süre
dynamique;dinamik
échec scolaire;okulda beklenenden düşük performans sergilemek
échelle sociale;sosyal ölçek
écologie;ekoloji
écosexuel;ekoseksüel
EDI;EDI
EDID;EDID
effet Matilda;Matilda etkisi
effet Werther;Werther etkisi
encapacitation;enkapasitasyon
endogamie;endogami
endogène;endojen
enfant de la loi 101;Bill 101'in çocukları
engagement;bağlılık
enterrer sa vie de garçon;bekarlığa veda partisi
épurateur;arıtıcı
épuratrice;arıtıcı
équation;denklem
essentialisme;özcülük
éthico-artistique;sanatsal etik
ethnographe;etnograf
ethnographie;etnografya
ethnographier;etnograf
ethnographique;etnografik
ethnologie;etnoloji
ethnométhodologie;etnometodoloji
ethnopraxie;etnopraksi
éthos;ethos
étiquetage;etiketleme
eurodescendant;eurodescendant
évolutionnisme;evrimcilik
exogamie;ekzogami
expression de genre;cinsiyet ifadesi
extro-déterminé;dıştan belirlenmiş
enquête  lister leurs activités quotidiennes;anket günlük faaliyetlerini listelemek
échange;değişim
échantillonnage;örnek yüzme
économie sociologie économique;ekonomi ekonomik sosyoloji
éducation sociologie de l’éducation;eğitim eğitim sosyolojisi
effet d’une variable;etki bir değişkenin
effet d’âge / effet de génération;yaş etkisi / nesil etkisi
effet de structure ;yapı etkisi 
Élite;Elit
Employé;Çalışan
endogamie vs. exogamie;endogami ekzogamiye karşı
entrepreneur;girişimci
entreprise sociologie de l’;girişim girişim sosyolojisi
environnement sociologie de l’;çevre sosyoloji
espace physique;alan fiziksel
espace social;sosyal alan
espérance de vie à la naissance;yaşam beklentisi doğumda
État;Eyalet, devlet
État-providence;Refah devleti
Ethnocentrisme;Etnosentrizm
Ethnographie;Etnografya
Évaluation;Değerlendirme
Évolution;Evrim
expérience sociale;sosyal deney
exploitation;sömürü
fait social;sosyal gerçek
falaise de verre;cam uçurum
favela;Favela, kenar mahalle, varoş mahalle, teneke mahalle
féminin;feminen
francisation;fransızlaştırma
frange;kondom
Front;Ön, cephe
Famille;Aile
Féminisation;Dişileştirme
finance financiarisation;finans finansallaşma
fonction sociale;fonksiyon sosyal
gaytrification;gaytrification gayleri çoğunlukta olduğu bölgeler
